university;year;rank_display;score;country;city;region;type;research_output;student_faculty_ratio;international_students;size;faculty_count
Hokkaido University;2017;130;57.8;Japan;Sapporo;Asia;Public;Very High;7.0;1,984;L;2,476
Ghent University;2017;131;57.6;Belgium;Ghent;Europe;Public;Very High;7.0;4,609;XL;5,537
University of Maryland, College Park;2017;131;57.6;United States;College Park;North America;Public;Very High;10.0;4,659;XL;3,798
Universiti Malaya (UM);2017;133;57.1;Malaysia;Kuala Lumpur;Asia;Public;Very High;8.0;3,340;L;2,386
Aalto University;2017;133;57.1;Finland;Espoo;Europe;Public;Very High;9.0;2,202;L;1,396
Kyushu University;2017;135;56.8;Japan;Fukuoka City;Asia;Public;Very High;7.0;2,125;L;2,761
University of Southern California;2017;136;56.7;United States;Los Angeles;North America;Private;Very High;10.0;9,107;XL;3,116
University of Minnesota Twin Cities;2017;137;56.4;United States;Minneapolis;North America;Public;Very High;11.0;5,630;XL;5,087
University of Lausanne;2017;138;56.3;Switzerland;Lausanne;Europe;Public;Very High;9.0;3,026;L;1,478
Chalmers University of Technology;2017;139;56.1;Sweden;Gothenburg;Europe;Private;Very High;8.0;2,502;M;2,500
Cardiff University;2017;140;55.7;United Kingdom;Cardiff;Europe;Public;Very High;9.0;7,819;L;3,350
Université Pierre et Marie Curie (UPMC);2017;141;57.5;France;Paris;Europe;Public;Very High;9.0;8,782;XL;4,680
University of Basel;2017;141;55.6;Switzerland;Basel;Europe;Public;Very High;9.0;2,875;M;1,036
University of Aberdeen;2017;141;55.6;United Kingdom;Aberdeen;Europe;Public;Very High;11.0;5,544;L;1,175
Erasmus University Rotterdam ;2017;144;55.5;Netherlands;Rotterdam;Europe;Public;Very High;11.0;5,932;L;2,699
University of Pittsburgh;2017;145;55.1;United States;Pittsburgh;North America;Public;Very High;6.0;2,590;L;4,746
RWTH Aachen University;2017;146;55.0;Germany;Aachen;Europe;Public;Very High;19.0;12,477;XL;2,431
Pontificia Universidad Católica de Chile (UC);2017;147;54.7;Chile;Santiago;Latin America;Private;Very High;12.0;1,072;L;2,343
The Hebrew University of Jerusalem;2017;148;54.2;Israel;Jerusalem;Asia;Public;Very High;7.0;1,176;L;2,295
McMaster University;2017;149;54.1;Canada;Hamilton;North America;Public;Very High;7.0;5,386;L;3,819
Emory University;2017;149;54.1;United States;Atlanta;North America;Private;Very High;5.0;2,264;L;2,725
National Tsing Hua University;2017;151;53.9;Taiwan;Hsinchu City;Asia;Public;Very High;10.0;1,551;L;1,265
University of Waterloo;2017;152;53.8;Canada;Waterloo;North America;Public;Very High;18.0;10,269;XL;1,908
Indian Institute of Science;2017;152;53.8;India;Bangalore;Asia;Public;Very High;9.0;5;S;446
Université catholique de Louvain (UCLouvain);2017;154;53.4;Belgium;Louvain-la-Neuve;Europe;Private;Very High;19.0;4,524;L;1,315
University of Vienna;2017;155;53.3;Austria;Vienna;Europe;Public;Very High;12.0;14,514;XL;3,637
University of California, Irvine;2017;156;53.2;United States;Irvine;North America;Public;Very High;13.0;9,323;XL;2,775
University of Liverpool;2017;157;53.1;United Kingdom;Liverpool;Europe;Public;Very High;10.0;9,500;L;2,771
Dartmouth College;2017;158;53.0;United States;Hanover;North America;Private;Very High;8.0;997;M;836
University of Bath;2017;159;52.7;United Kingdom;Bath;Europe;Public;Very High;12.0;5,326;L;1,339
Universitat de Barcelona;2017;160;52.6;Spain;Barcelona;Europe;Public;Very High;15.0;6,979;XL;3,002
